"kimmym35","Absolutely love this Game","+","5","Love it",3535491172,"https://itunes.apple.com/us/reviews/id372396002",1.140.0,0
"Suzyskis","Surprisingly entertaining.","+","4","Visually stimulating",3535425575,"https://itunes.apple.com/us/reviews/id183209162",1.140.0,0
"Funtimes07","Addictive game","+","5","Fun",3535399768,"https://itunes.apple.com/us/reviews/id238921234",1.140.0,0
"Use2b29","A fun time burner!","+","5","Fun",3535382776,"https://itunes.apple.com/us/reviews/id114553050",1.140.0,0
"bluiez","Fun fun fun","+","5","Fun",3535379190,"https://itunes.apple.com/us/reviews/id947299558",1.140.0,0
"notonmywatch715","Very addicting","+","4","Candy crush",3535365444,"https://itunes.apple.com/us/reviews/id631762387",1.140.0,0
"album5","I have had to transfer this game to 2 new devices and both times I lost all my extra lives & boosters.  I stayed on the same level & kept the gold bars.  Otherwise  a fun game.","-","3","Lost boosters",3535266954,"https://itunes.apple.com/us/reviews/id752649729",1.140.0,0
"bangobongo182","App is good app","+","5","Good",3535250540,"https://itunes.apple.com/us/reviews/id131281798",1.140.0,0
"666nemA","Just cant stop playing","+","5","I love it",3535244427,"https://itunes.apple.com/us/reviews/id523042911",1.140.0,0
"17hun17","Awesome to play","+","5","Candy",3535162656,"https://itunes.apple.com/us/reviews/id110890563",1.140.0,0
"play2783","used to be my favorite. now I can’t simply play the game without ten things popping up that I need to X out of.","-","3","too many pop ups",3535152415,"https://itunes.apple.com/us/reviews/id445970995",1.140.0,0
"RashaeDoll","I’m addicted. It’s just a matter of time for you. 😊","+","5","Addiction issues",3535142894,"https://itunes.apple.com/us/reviews/id193268115",1.140.0,0
"Luvk9","Love this game! Great to play while waiting for the kids to get out of school!!!","+","5","Love it!",3535139424,"https://itunes.apple.com/us/reviews/id341496665",1.140.0,0
"Megthechef","Fun game to pass the time with.","+","5","Fun game",3535066025,"https://itunes.apple.com/us/reviews/id161859449",1.140.0,0
"michael10101982","This is a great way to pass time","+","5","Review",3535017239,"https://itunes.apple.com/us/reviews/id507174422",1.140.0,0
"Slum master","It fun thank you","+","4","Great",3534982360,"https://itunes.apple.com/us/reviews/id300400555",1.140.0,0
"A Curette","I absolutely love this game","+","5","Candy crush",3534951825,"https://itunes.apple.com/us/reviews/id559387267",1.140.0,0
"pickled spice","I don’t like the changes you can’t reset the board? Why...  then you take all the rewards.","-","2","Changes",3534912192,"https://itunes.apple.com/us/reviews/id587682703",1.140.0,0
"Sparkle Narwhal","Candy Crush is awesome and one of my all time favorites! I would HIGHLY recommend it!","+","5","AWESOME!!",3534895937,"https://itunes.apple.com/us/reviews/id589565923",1.140.0,0
"dobele1216","Recently DOUBLED the cost of gold bars.  Will never get another cent from me!","-","1","Increased prices!",3534887817,"https://itunes.apple.com/us/reviews/id23551485",1.140.0,0
"Topsnwbrdr","👍🏻","+","5","Love it",3534841224,"https://itunes.apple.com/us/reviews/id143137972",1.140.0,0
"emmarie154","I’m addicted  lol","+","5","Love This Gamee",3534826144,"https://itunes.apple.com/us/reviews/id855740708",1.140.0,0
"🎀Khaliah🎀","Brain fun while i am cozy in my blanket! :)","+","4","Fun times",3534822333,"https://itunes.apple.com/us/reviews/id106453454",1.140.0,0
"Dedra7","Please add an option to turn off the blinking candies that suggest a move. Thanks! 🙂","+","4","Blinking Candies",3534761902,"https://itunes.apple.com/us/reviews/id35646352",1.140.0,0
"julyia_xiv","I love this game so much","+","5","So much fun",3534706440,"https://itunes.apple.com/us/reviews/id162481776",1.140.0,0
"Hannahiscommenting","I have played this game for YEARS  and I still never get tired of it. Love that you can now watch an ad to earn something for the level.","+","5","Love",3534647556,"https://itunes.apple.com/us/reviews/id480514895",1.140.0,0
"Oncer2002","This is such a fun game!!","+","5","Mandy C.",3534628810,"https://itunes.apple.com/us/reviews/id499900473",1.140.0,0
"TheHHIC27","Not a good use of my time but fun to do when waiting.","-","3","Fun Game - Time Waster",3534603222,"https://itunes.apple.com/us/reviews/id624221063",1.140.0,0
"lilygamerXD100","I love it!","+","5","I... I... I...",3534571654,"https://itunes.apple.com/us/reviews/id890580017",1.140.0,0
"Jeffrey Thomas b","Great","+","5","Candy crush",3534563064,"https://itunes.apple.com/us/reviews/id423779692",1.140.0,0
"Gig3000","Fun","+","5","Fun",3534551222,"https://itunes.apple.com/us/reviews/id233942606",1.140.0,0
"bugotifish","Game is a lot of fun","+","4","Mucho fun",3534538159,"https://itunes.apple.com/us/reviews/id362658362",1.140.0,0
"maggie$&@"","Love this game!!","+","5","Fred loves this game",3534489999,"https://itunes.apple.com/us/reviews/id867674857",1.140.0,0
"💗 liz","Very great game!","+","5","Candy",3534444410,"https://itunes.apple.com/us/reviews/id606839986",1.140.0,0
"Rubster1234","my favorite game","+","5","love it",3534443938,"https://itunes.apple.com/us/reviews/id155343285",1.140.0,0
"67gi","Fun to play and challenging","+","5","Entertainment",3534434703,"https://itunes.apple.com/us/reviews/id185871519",1.140.0,0
"Endancy","Loads of fun!","-","3","Fun",3534402396,"https://itunes.apple.com/us/reviews/id199632364",1.140.0,0
"Zz3253","..","+","4","Pay2win",3534383912,"https://itunes.apple.com/us/reviews/id210357889",1.140.0,0
"Irishred16","Please give an option to request suggestions  or turn them off.  At least delay giving them until 10-15 seconds minimum after no move is made yet.  Very annoying to immediately have them flashing at you.","-","2","Unwanted Suggested Moves",3534367113,"https://itunes.apple.com/us/reviews/id296107353",1.140.0,0
"mrs.pugsalot","IT'ᔕ ᒪIT","+","5","ᒪIT",3534366848,"https://itunes.apple.com/us/reviews/id27787323",1.140.0,0
"fiddlefoot1951","Fun  fast  addictive. One negative only and that is when you show or toss in little remarks they disappear before you can read them. That doesn’t stop me from playing for way to many hours. 😀","+","5","Candy Crush Saga",3534326339,"https://itunes.apple.com/us/reviews/id539859028",1.140.0,0
"Billswill","Love the newest game as well as the others.   Very challenging and fun.  Keep getting crushed haven’t gotten to the end of any yet","+","5","The Crushers",3534205727,"https://itunes.apple.com/us/reviews/id324232960",1.140.0,0
"elleellebean","I’ve found to use this when my  mind wanders as I’m trying to fall asleep. Keeps me occupied and helps me wind down.","+","5","Relaxing",3534146726,"https://itunes.apple.com/us/reviews/id592973898",1.140.0,0
"bcmotaylor","This is very fun game to play when your bored.","+","5","Great game",3534080952,"https://itunes.apple.com/us/reviews/id34120771",1.140.0,0
"bejadler","I HATE the new version!  Cost of bars has doubled and I cannot afford to keep buying them!  I have spent way too much money already and will NOT recommend this game to others again!  Restarted game and different version loaded. Wharton’s is up with that? Play on two iPads and both have different versions!","-","3","Comments",3533859328,"https://itunes.apple.com/us/reviews/id512508371",1.140.0,0
"1995Shann","Addictive and fun to play","+","5","Addictive game",3533835661,"https://itunes.apple.com/us/reviews/id338373375",1.140.0,0
"Rvkidmat","Desee","+","5","We",3533779923,"https://itunes.apple.com/us/reviews/id165898762",1.140.0,0
"CCIAWOM","Thanks to the team for making a barely justifiable expense completely unacceptable. The increased costs for the assortment of in-App purchases has provided the perfect motivation to delete the game once and for all.","-","1","Now very overpriced",3533763830,"https://itunes.apple.com/us/reviews/id15851847",1.140.0,0
"Samos1688","I’ve been playing Candy Crush for years and this is my third time but the latest version only gives 32+moves while the older version gives 45 moves. It is impossible to get 100 greens in 32 moves because 100 greens do not appear on such a small board. This level in 32 moves does not appear on the tips or cheat apps so I’m stuck.","+","4","Stuck on level 456",3533739995,"https://itunes.apple.com/us/reviews/id218121087",1.140.0,0
"motomom 422","Fun game to pass the time","+","4","Addictive",3533649806,"https://itunes.apple.com/us/reviews/id888501894",1.140.0,0
"to draw","I’ve been playing this game for way too many years. I can’t believe that if you can’t win a game you take a life away! AND you’ve cut back the piggy bank by HALF! Disable people and retired people don’t have the money to buy all your little gold bars and with making some of the levels impossible to win you only get 3 chances to try because you take the lives away....SHAME on you  maybe the other people that are new and haven’t been playing for 6+ years will make you even more millions","-","3","Unreal.......so sad",3533486289,"https://itunes.apple.com/us/reviews/id250191335",1.140.0,0
"kiabri","Great relaxing game","+","5","Candy crusher",3533451288,"https://itunes.apple.com/us/reviews/id937663808",1.140.0,0
"mschu1horselover","Awesome! This game is addictive. Its very relaxing","+","5","Great!!",3533432326,"https://itunes.apple.com/us/reviews/id490763080",1.140.0,0
"Dust yo","Addictive","+","5","Great",3533358181,"https://itunes.apple.com/us/reviews/id453854355",1.140.0,0
"My3Kids!73069","This is a very fun and addictive game!","+","5","Candy crush saga",3533073115,"https://itunes.apple.com/us/reviews/id488217354",1.140.0,0
"Candy Crush Fanny","🎯🙌🏽","+","4","Fun and challenging",3532870177,"https://itunes.apple.com/us/reviews/id495701157",1.140.0,0
"CarlieC","Love love love this game","+","5","BEST GAME EVER",3532726634,"https://itunes.apple.com/us/reviews/id391596626",1.140.0,0
"❤❤Driaa","Annoying when you don’t enough moves.","-","1","..",3532693668,"https://itunes.apple.com/us/reviews/id295981443",1.140.0,0
"Almaatinka","Honestly  you think you will make it hard and give less moves  adjust the level to be harder from what its really like in other videos   and i will pay to pass this level? I get what you Are doing. You will not get a dime from me!!! Id rather delete this game! This level is impossible!!!! IMPOSSIBLE!! No way to pass without boosters","-","1","Level 3953",3532662115,"https://itunes.apple.com/us/reviews/id282019712",1.140.0,0
"SpanishFly11111111","Super addicting too much fun!","+","4","Super addicting",3532602789,"https://itunes.apple.com/us/reviews/id429162495",1.140.0,1
"Rycbnb","Coo","-","3","Coo",3532491495,"https://itunes.apple.com/us/reviews/id355966087",1.140.0,0
"donnaerndt65","Best game ever","+","5","Candy crush",3532436072,"https://itunes.apple.com/us/reviews/id657195829",1.139.0,0
"tennesseeKidd","Super fun.","+","5","Fun",3532410226,"https://itunes.apple.com/us/reviews/id298132202",1.140.0,0
"Larrinette","Relaxes me","+","5","Fun",3532351589,"https://itunes.apple.com/us/reviews/id141642225",1.140.0,0
"Sazzienuca","Awesome game!  I love it!","+","5","Candy Crush",3532335392,"https://itunes.apple.com/us/reviews/id207536535",1.140.0,0
"mk1377","Lots of fun","+","5","Fun",3532317329,"https://itunes.apple.com/us/reviews/id670843033",1.140.0,0
"Diggs/Love","Never win the jackpot🤦🏾‍♀️👎🏾","-","1","Jackpot",3532303428,"https://itunes.apple.com/us/reviews/id506098179",1.140.0,0
"Raleyboo🤪","So I’m on level 65 and it’s so freaking fun and it helps keep me calm like I literally play 24/7.....I use to hate this game but now it is the best game on my phone  so like yeah just download the game and play💯🤪","+","5","Omggg I love this game 🥰",3532261909,"https://itunes.apple.com/us/reviews/id949572953",1.140.0,0
"Herculesmaggie123","I'm addicted it's so fun","+","5","Love this game!",3532095510,"https://itunes.apple.com/us/reviews/id527161008",1.140.0,0
"Nikki Jerrett","So I was on level 1930. I googled it because it gives you 13 moves to knock out like 60 plus squares. I noticed that YouTube video I came across  the players had 20 plus moves. So candy crush wants to lower the moves so you’re FORCED into buying crap from them just so you can make it to the next level. You’re pathetic!","-","1","Money hungry company... Pathetic!",3532059418,"https://itunes.apple.com/us/reviews/id163689619",1.140.0,0
"romalain","It is sooooooooooo fun to play the game keep up the good work","+","4","Luv the game sooooooo much",3532027370,"https://itunes.apple.com/us/reviews/id913092009",1.140.0,0
"(^_^)TAFUR","Entretenido","+","5","Súper",3531992154,"https://itunes.apple.com/us/reviews/id527907782",1.140.0,0
"balserrrrr","👍👍👍👍😜😜😜","+","5","Awesome",3531932724,"https://itunes.apple.com/us/reviews/id783659369",1.140.0,0
"ejeppeje dn","Good","+","5","Very good",3531878731,"https://itunes.apple.com/us/reviews/id632966289",1.140.0,0
"Mollyreeves","Addictive!!! STRESS RELIEVER ❤️👌","+","5","Ann Reeves",3531870665,"https://itunes.apple.com/us/reviews/id198636142",1.140.0,0
"jessowendan","I really like this game.","+","5","Rate",3531803827,"https://itunes.apple.com/us/reviews/id367828250",1.140.0,0
"Heat trio 6 3. 1","Lit","+","5","Lit",3531730710,"https://itunes.apple.com/us/reviews/id105959395",1.140.0,0
"They infringed","I play all the time","+","5","Awesome game",3531721591,"https://itunes.apple.com/us/reviews/id430908337",1.139.0,0
"draas1350","Just addictive enough to come back every day for a hr or so","+","5","Measured addiction",3531680869,"https://itunes.apple.com/us/reviews/id131662568",1.140.0,0
"George39993","Awesome game. Keeps you playing for a long time.","+","5","Candy Crush",3531677774,"https://itunes.apple.com/us/reviews/id893568332",1.140.0,0
"kikilia67","Was surprised at how much fun this game is and I love the pastel colors  so pleasant to the eye!","+","5","Enjoying This Game!",3531647167,"https://itunes.apple.com/us/reviews/id672186475",1.140.0,0
"Emhaupt7","I love it! Can’t get enough!","+","5","Em",3531637484,"https://itunes.apple.com/us/reviews/id249825441",1.140.0,0
"AshMeg15","So much fun  can’t stop playing!!","+","5","Addictive!!",3531627668,"https://itunes.apple.com/us/reviews/id349605422",1.140.0,0
"The mom of the neighborhood","Great","+","5","Great",3531618532,"https://itunes.apple.com/us/reviews/id919009308",1.139.0,0
"MayorJerry","Why can’t you make the games equal when you make updates? Is it fair some have 18 moves and others 22 on ‘super hard’ levels!?","-","2","2270 some people have more starting moves than others",3531617527,"https://itunes.apple.com/us/reviews/id173767810",1.140.0,0
"😛😛😚😚😚😝lady lover","Fun","+","5","Best game",3531611956,"https://itunes.apple.com/us/reviews/id427730979",1.140.0,0
"Familiasoto07","Nice and fun game","+","5","Candy",3531512396,"https://itunes.apple.com/us/reviews/id727730749",1.140.0,0
"Sarahxbaby","It’s addicting... love it but I’m impatient and can’t wait 30 minutes for another life before I start buying them. 😂","+","5","Love and hate this game",3531432581,"https://itunes.apple.com/us/reviews/id182158368",1.140.0,0
"Kovu0413","I had stop playing this game  I remember now why because it’s so addicting!!","+","5","Addicting",3531337730,"https://itunes.apple.com/us/reviews/id569697316",1.140.0,0
"everynameistaken73749294476","I’m stupidly irritated by the fact that the loading screen says  “Swipe the stress away” and other things similar. I’ve been stuck on what they call a “nightmarishly hard level” for days. This game is causing me stress. I’m not swiping it anywhere.","+","4","Sure it’s fun but...",3531248435,"https://itunes.apple.com/us/reviews/id655265724",1.140.0,0
"Abby matts","Love!","+","5","Livw",3531193179,"https://itunes.apple.com/us/reviews/id280263599",1.140.0,0
"Familyman061213","Great way to pass the time.","+","5","Good game",3531181342,"https://itunes.apple.com/us/reviews/id225768251",1.140.0,0
"striker#12","You never stop having contests to do and you never get bored a lot of games I’ve played have got weird and there was nothing to do but not this one","+","5","It’s so much fun!",3531179996,"https://itunes.apple.com/us/reviews/id626667983",1.140.0,0
"🌹🥧","Super fun","+","5","Love it",3531146682,"https://itunes.apple.com/us/reviews/id885613681",1.140.0,0
"HumbledWife","I really like this game  and the fact that I can beat my fellow employees makes it that much better since I am a competitor!!! Wish I had more boosters though hehehehehhe!!!","+","5","Fun unwinding game",3531137744,"https://itunes.apple.com/us/reviews/id457705626",1.140.0,0
"mkd458","Happy Happy is my game.","+","5","Candy crush saga",3531137015,"https://itunes.apple.com/us/reviews/id949444752",1.140.0,0
"eundnc","I love this game! I’ve never had any problems!","+","5","Awesome game!",3531133988,"https://itunes.apple.com/us/reviews/id741514656",1.140.0,0
"Betty D-H","My game I love playing candy crush   I lost my husband 4 months ago and I smile when I reach another level.  Sad right   But it helps pass the time   Thank you and Merry Christmas","+","5","Betty June",3531022152,"https://itunes.apple.com/us/reviews/id343980645",1.140.0,0
"dmdjdjdnsjdjsjdbsb","love it","+","5","great game",3531012026,"https://itunes.apple.com/us/reviews/id593986807",1.140.0,0
"Ara5635","❤️🥰","+","5","❤️",3531007493,"https://itunes.apple.com/us/reviews/id717567881",1.140.0,0
"MiztyJ","Its so freaking addictive!!","+","5","Love it!!!!!!!!",3530945314,"https://itunes.apple.com/us/reviews/id228548219",1.140.0,0
"Gpt1111","Very addictive","+","5","Great game",3530945271,"https://itunes.apple.com/us/reviews/id170850519",1.140.0,0
"JonesB76","Fun!","+","5","Love it!",3530885658,"https://itunes.apple.com/us/reviews/id103660151",1.140.0,0
"angie s g","Soo addicting!!","+","5","Best game ever",3530868403,"https://itunes.apple.com/us/reviews/id949417898",1.140.0,0
"Gshsf352","Very addictive and a nice challenge! Also  most levels that have a “hard” tag actually mean it - something amiss in many other games. Good work!","+","5","Fun",3530854282,"https://itunes.apple.com/us/reviews/id237442021",1.140.0,0
"Ayy  It's Caz 🤧","Hello so with the daily calendar  I'm supposed to be in the 7th day on getting a gift. But it says that the next time I can open that in 429028 hours and I have questions 😂 over all the game is really fun and I play it in class","+","4","Uhhh",3530818666,"https://itunes.apple.com/us/reviews/id800655791",1.140.0,0
"princess_plz","Love this game but would like the lives to refill faster!","+","4","Candy crush",3530795183,"https://itunes.apple.com/us/reviews/id648994855",1.140.0,0
"Jsjslspab8382","👍good","+","4","ya",3530678825,"https://itunes.apple.com/us/reviews/id518804536",1.140.0,0
"Kaofed","Can’t stop playing","+","5","Exhilarating",3530643236,"https://itunes.apple.com/us/reviews/id209788830",1.140.0,0
"Sharly612","Que las vidas fueran infinitas sería lo maximo","+","5","Las vidas infinitas",3530626745,"https://itunes.apple.com/us/reviews/id946011353",1.140.0,0
"Mascoggin","Awesome","+","5","Awesome",3530552208,"https://itunes.apple.com/us/reviews/id949384286",1.140.0,1
"Lovie999","I like Candy Crush!","+","4","Candy Crush!",3530537958,"https://itunes.apple.com/us/reviews/id391114266",1.140.0,0
"dhdifnriwb","Good game","+","5","Fun",3530476248,"https://itunes.apple.com/us/reviews/id115624058",1.140.0,0
"AriJ824","I’m in loveee with candy crush stopped playing It a long Time Ago just redownloaded it and I can’t stop playing anytime I have free time I’m playing lol","+","5","I LOVE it !!",3530464179,"https://itunes.apple.com/us/reviews/id833143945",1.140.0,0
"Whatarethose m162737-7:9/$","Lit","+","5","Lit",3530461376,"https://itunes.apple.com/us/reviews/id233510955",1.140.0,0
"chase.ccc","Love the app","+","5","C crush",3530455791,"https://itunes.apple.com/us/reviews/id497695700",1.140.0,0
"TaylorBlackmon","I’m just curious as to why the makers of candy crush  or whomever  decided to decrease the amount of gold bars once full. It’s gone from 60 to 30 but no price change? Also  the 1.99 you used to pay for 15 bars has decreased to 10 with no price change. What gives? Not making enough money  are we?   I’m sure this will not matter to you all as I am just a piddly consumer  but I will no longer purchase anything from this game. Very disappointing.","-","2","“Piggy bank...”",3530431897,"https://itunes.apple.com/us/reviews/id422490988",1.140.0,0
"asap1006","Very fun","+","5","Candy crush",3530266597,"https://itunes.apple.com/us/reviews/id202747293",1.140.0,0
"Your_mom 6969696969","Is fun play","+","5","Good game",3530213308,"https://itunes.apple.com/us/reviews/id558452007",1.140.0,0
"Guy42","Having fun 👌","+","4","Candy crush",3530010215,"https://itunes.apple.com/us/reviews/id450157861",1.140.0,0
"at1328","Love this game","+","5","Love it!!",3529912534,"https://itunes.apple.com/us/reviews/id424422852",1.140.0,0
"paytoooons","Love it  very addicting.","+","5","Candy crush review",3529878177,"https://itunes.apple.com/us/reviews/id875825223",1.140.0,0
"dulce loco","Love this game.","+","5","Eldulceloco",3529872658,"https://itunes.apple.com/us/reviews/id545198305",1.140.0,0
"KIKI.STEW","I like playing the game when I’m waiting for my kids bus to come. They also enjoy playing it when they go to appointments.","+","5","Nice distraction",3529616619,"https://itunes.apple.com/us/reviews/id215578132",1.140.0,0
"elmer green","Easily one of the best games on mobile","+","5","5 star",3529580769,"https://itunes.apple.com/us/reviews/id8661635",1.140.0,1
"deenana2299","It’s ok","+","4","Deenana1970",3529425970,"https://itunes.apple.com/us/reviews/id288085140",1.140.0,0
"peter598762","I have played over 2000 levels in the various Candy Crush games.","+","5","Game is fun",3529240802,"https://itunes.apple.com/us/reviews/id32125269",1.140.0,0
"Mitoshi619","Addicting to say the least","+","5","Free",3529214126,"https://itunes.apple.com/us/reviews/id365344559",1.140.0,0
"Tiny517","Unless you’re 2 the auto hints will drive you crazy. Deleted.","-","1","Auto hints",3529154873,"https://itunes.apple.com/us/reviews/id626935724",1.140.0,0
"jcidiekdndjkwlsbbc","I love this game  it calms me down when i have anxiety and it’s super fun","+","5","Addictive!!!",3528984679,"https://itunes.apple.com/us/reviews/id494864001",1.140.0,0
"vizionaarii","This game relaxes me!","+","4","Fun and Addicting",3528743953,"https://itunes.apple.com/us/reviews/id831838593",1.140.0,0
"jillmess","Love it!","+","5","One of my favorites!",3528719036,"https://itunes.apple.com/us/reviews/id118575460",1.140.0,0
"Elleede","Love it!!","+","5","Candy crush",3528687429,"https://itunes.apple.com/us/reviews/id457750520",1.140.0,0
"aleeeeeeexa765927","i love this game! it’s so much fun!!!","+","5","So much fun",3528616618,"https://itunes.apple.com/us/reviews/id545220547",1.140.0,1
"xlisalovexx","Helps me think","+","4","Love it!",3528527629,"https://itunes.apple.com/us/reviews/id881311882",1.140.0,1
"TayFrahm","It’s so addicting!! I love it!","+","5","Addicting",3528509203,"https://itunes.apple.com/us/reviews/id127962822",1.140.0,0
"Magicman Jiggins","Thanks !","+","5","Fun game",3528507140,"https://itunes.apple.com/us/reviews/id411787147",1.140.0,0
"kayydee8","Amazing","+","5","Fun game",3528499456,"https://itunes.apple.com/us/reviews/id607922176",1.140.0,0
"Stefan Jawn","Dah","+","5","Amazing",3528450999,"https://itunes.apple.com/us/reviews/id236378964",1.140.0,0
"princessccb","& very Addicted","+","5","Addictive",3528435234,"https://itunes.apple.com/us/reviews/id949120029",1.140.0,0
"KIA ♥️","I Been Playing Candy Crush For FOREVER ! & I Think it’s About Time Y’all Just Put Unlimited Life It’s So Annoying Waiting For Lives Like Come On ‼️","-","3","PLEASE READ ‼️‼️",3528413111,"https://itunes.apple.com/us/reviews/id949117551",1.140.0,0
"Azurasmom","I always loved it even tho I never hit jack pot it’s alright tho! Still love it!","+","5","Love it",3528412101,"https://itunes.apple.com/us/reviews/id196668426",1.140.0,0
"alinster","👍👍👍👍👍👍👍  Love it!","+","5","👍",3528379633,"https://itunes.apple.com/us/reviews/id39906078",1.140.0,0
"iv givbfufvfuvfu ug","Hhhhh","+","5","Huy",3528377472,"https://itunes.apple.com/us/reviews/id664187265",1.140.0,0
"Yahoo39","Ya’ll need to fix your advancements and bonuses. When I would complete a level and was supposed to get a bonus or the bean stock I didn’t get it. It would say zero hours to the bonus but I wouldn’t be able to except it","-","1","Benefits and level advancements don’t pay out accordingly!",3528322756,"https://itunes.apple.com/us/reviews/id204416330",1.140.0,0
"BuckBradner","Good","+","5","Candy",3528287498,"https://itunes.apple.com/us/reviews/id129612517",1.140.0,0
"Thewhiz73","Love it  but the fact they doubled their prices to buy bars and topped the piggy bank out at 30 coins instead of 60 irritates the crap out of me. And it NEVER lets you win the jackpot. EVER.","-","3","Stop raising the prices",3528286185,"https://itunes.apple.com/us/reviews/id32790632",1.140.0,0
"RLM35","Game is wonderful and I’m excited to se what’s new in the game !!","+","5","Amazed",3528257018,"https://itunes.apple.com/us/reviews/id915685882",1.140.0,0
"Bigdc65","Great way to pass time !!!","+","5","Adult gamer !",3528230765,"https://itunes.apple.com/us/reviews/id317585566",1.140.0,0
"renendaze","This game is very addictive","+","5","Beware !!!",3528213416,"https://itunes.apple.com/us/reviews/id881720700",1.140.0,0
"Cresta3572","Fun  addictive  challenging. Love it","+","5","So addictive",3528211267,"https://itunes.apple.com/us/reviews/id139992207",1.140.0,0
"Nanistubi","Play 3-5 times a day. Love it!","+","5","Candy Crush Saga",3528194140,"https://itunes.apple.com/us/reviews/id914279329",1.140.0,0
"1CraftyGirl","My biggest problem is that you have to pay for your gold bars! I have no extra money!  Otherwise I would give it a better rating!","-","3","It’s ok",3528154217,"https://itunes.apple.com/us/reviews/id216206199",1.140.0,0
"Ozzie SD","I can’t stop","+","5","So fun!!",3528137267,"https://itunes.apple.com/us/reviews/id822047807",1.140.0,0
"GG_Unit","It’s so addictive and fun i send most of my nights on here even though I should be doing homework","+","5","Love it!",3528131059,"https://itunes.apple.com/us/reviews/id315422248",1.140.0,0
